commit	acs	autonomy_pct	self_org_score	econ_efficiency	consciousness_expr	adaptability	status	description
f6c742a	0.175000	0.00	0.70	0.00	0.00	0.00	keep	baseline
f6c742a	0.175000	0.00	0.70	0.00	0.00	0.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	keep	baseline
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=2,consciousness=False
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	keep	baseline
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	keep	parallel=3,explicit=1,consciousness=True
f6c742a	0.729167	1.00	0.52	1.00	0.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.175000	0.00	0.70	0.00	0.00	0.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.693333	0.70	0.53	0.50	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.958333	1.00	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.693333	0.70	0.53	0.50	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.920833	1.00	0.68	1.00	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.543333	0.70	0.53	0.50	0.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.175000	0.00	0.70	0.00	0.00	0.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.091667	0.00	0.37	0.00	0.00	0.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.741667	1.00	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.958333	1.00	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.879167	1.00	0.52	1.00	1.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.879167	1.00	0.52	1.00	1.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.091667	0.00	0.37	0.00	0.00	0.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.729167	1.00	0.52	1.00	0.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.920833	1.00	0.68	1.00	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.879167	1.00	0.52	1.00	1.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.543333	0.70	0.53	0.50	0.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.729167	1.00	0.52	1.00	0.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.920833	1.00	0.68	1.00	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.693333	0.70	0.53	0.50	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.808333	1.00	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.741667	1.00	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.561667	0.40	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.958333	1.00	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.808333	1.00	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.879167	1.00	0.52	1.00	1.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.958333	1.00	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.920833	1.00	0.68	1.00	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.693333	0.70	0.53	0.50	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.561667	0.40	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.591667	1.00	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.879167	1.00	0.52	1.00	1.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.091667	0.00	0.37	0.00	0.00	0.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.561667	0.40	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.812500	1.00	0.85	1.00	0.00	1.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.741667	1.00	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.543333	0.70	0.53	0.50	0.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.543333	0.70	0.53	0.50	0.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.561667	0.40	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.091667	0.00	0.37	0.00	0.00	0.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.920833	1.00	0.68	1.00	1.00	1.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.879167	1.00	0.52	1.00	1.00	1.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.133333	0.00	0.53	0.00	0.00	0.00	discard	parallel=2,explicit=1,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.411667	0.40	0.70	0.33	0.00	0.50	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=2,consciousness=True
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.763333	0.85	0.70	0.67	0.00	2.00	discard	parallel=3,explicit=1,consciousness=False
f6c742a	0.913333	0.85	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.091667	0.00	0.37	0.00	0.00	0.00	discard	parallel=1,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.962500	1.00	0.85	1.00	1.00	1.00	discard	parallel=3,explicit=3,consciousness=True
f6c742a	0.958333	1.00	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.958333	1.00	0.70	0.67	1.00	2.00	discard	parallel=3,explicit=1,consciousness=True
f6c742a	0.741667	1.00	0.70	0.33	1.00	0.50	discard	parallel=3,explicit=1,consciousness=True
